name,count
"Apu Nahasapeemapetilon",67
"Homer Simpson",61
"Apu's Mother",18
"Marge Simpson",17
"Bart Simpson",11
"Krusty the Clown",11
"Lisa Simpson",11
"Moe Szyslak",10
"Manjula Nahasapeemapetilon",7
"Female Crowd Members",4
"Grampa Simpson",4
"Orderly",4
"Nurse",4
"Ganesh",4
"Kent Brockman",3
"Miss Hoover",3
"Luann Van Houten",3
"Lenny Leonard",3
"Rev. Timothy Lovejoy",3
"Manjula's Mother",2
"Jasper Beardly",2
"Barney Gumble",2
"Clerk",2
"Roy",2
"Crowd",1
"Captain Horatio McCallister",1
"Fireman",1
"Kirk Van Houten",1
"Selma Bouvier",1
"Elderly Gentleman",1
"Carl Carlson",1
"Siegfried",1
"Guests",1
"Indian Singers",1
