name,count
"Woods",24
"Simpson Home",20
"Prison Gymnasium",18
"Courtroom",15
"FORK IN THE ROAD",15
"Housewares Section",13
"Prison Rec Room",13
"Countryside",12
"JUVENILE HALL",11
"Tent",10
"COSMETICS DEPT.",7
"Small Prison Auditorium",6
"PRISON PLAY YARD",6
"Juvenile Prison",6
"Cletus's Shack",6
"Costington's",5
"Prison Visiting Room",5
"BLACKSMITH'S",5
"Field",4
"GIRLS' DEPARTMENT",3
"Burns's Office",3
"JUVIE",3
"DRESSING ROOM AREA",2
"Springfield Juvenile Correctional Facility",2
"JUVENILE CORRECTIONAL FACILITY",2
"FORK IN ROAD",1
