name,count
"Finger-Looking Good Nail Salon",35
"Theater",19
"RICHMOND PALACE",17
"DWARVES' COTTAGE",17
"Day Care Center",15
"MINE",13
"SCOTTISH CASTLE",12
"ELIZABETH'S CASTLE",9
"Woods",9
"Moe's Tavern",9
"Throne Room",8
"Simpson Home",7
"Beauty Salon",6
"ELIZABETH'S PALACE",6
"Sideshow Mel's Dressing Room",6
"SPRINGFIELD THEATER",6
"ENGLISH BEACH",4
"City Street",4
"ENGLISH SHIP",3
"DODGER STADIUM",1
"DECK OF SPANISH SHIP",1
"Hilltop",1
"911 OPERATOR OFFICE",1
"Dr. Hibbert's Office",1
