name,count
"Homer Simpson",100
"Lisa Simpson",19
"Marge Simpson",18
"Bart Simpson",12
"Ted Nugent",12
"James Madison",11
"Nash Castor",7
"Flight Attendant",4
"Adriatica Vel Johnson",4
"Tsa Agent",3
"Captain",3
"Air Marshal",3
"Apu Nahasapeemapetilon",3
"Cbsbn Executive",3
"Ned Flanders",3
"Ticketing Agent",2
"Gil Gunderson",2
"Lefty Loony",2
"C. Montgomery Burns",2
"Tsa Officer",1
"Ethnic Man",1
"Mystery Man",1
"Sideshow Mel",1
"Rainier Wolfcastle",1
"Director",1
"Female Cbsbn Executive",1
"Carl Carlson",1
"Lenny Leonard",1
"Moe Szyslak",1
"Kent Brockman",1
"Chris Christie",1
"Martin Prince",1
"Voice",1
