name,count
"SCOTLAND YARD",26
"Flanders Home",20
"Springfield Street",17
"PUBLIC YARD",15
"PROF. FRINK'S LAB",13
"Spaceship",12
"EMPORIUM OF EXOTICA",12
"OPIUM DEN",12
"Springfield Convention Center",11
"VESSEL",10
"HEAVEN",9
"London",8
"CORE",7
"MR. BURNS' BODY",6
"BURNS' BODY",6
"The Gilded Truffle Restaurant",6
"Springfield General Hospital",5
"Sub",4
"Professor Frink's Lab",4
"Simpson Home",3
"VICTORIAN LONDON",3
"Hospital",2
"Springfield Nuclear Power Plant",2
"BOOTH",2
"MAO'S",2
"Ship",2
"",1
"MAO'S DEN",1
"FRINK'S OFFICE",1
