name,count
"Springfield Elementary School",26
"Simpson Home",24
"Prison Cell",18
"CHILDREN'S EXAM ROOM",17
"Springfield Town Hall",13
"Prison Auditorium",13
"Simpson Car",12
"First Church of Libertyville",11
"Ronald Reagan Reeducation Center",11
"Green Room",10
"HEADBUTT SET",10
"Springfield Prison",9
"Ship",8
"Moe's Tavern",7
"Ocean",7
"Eiffel Tower",7
"Skinner's Office",5
"LIBERTYVILLE",4
"Kwik-E-Mart",4
"Springfield Shopper",3
"When You Wash Upon a Car Wash",3
"MINI-GOLF COURSE",3
"Tunnel",3
"TV Studio",1
