name,count
"Bart Simpson",51
"Homer Simpson",41
"Fat Tony",17
"Moe Szyslak",10
"Mrs. Trunch",9
"Milhouse Van Houten",8
"20-something Husband",8
"Louie",6
"Duffman",6
"Seymour Skinner",5
"Marge Simpson",5
"20-something Wife",4
"Barney Gumble",3
"Lenny Leonard",3
"Lisa Simpson",3
"Shauna Chalmers",3
"Haitian Woman",3
"Prosecutor",3
"Kirk Van Houten",2
"Gary Chalmers",2
"Ned Flanders",2
"Paramedic",1
"Carl Carlson",1
"Hispanic Guy In Truck",1
"Martin Prince",1
"Ralph Wiggum",1
"Nelson Muntz",1
"Jimbo Jones",1
"Husband",1
"Legs",1
"12-Year-Old Homer",1
"",1
