name,count
"Bart Simpson",40
"Lisa Simpson",35
"Nelson Muntz",30
"Homer Simpson",29
"Milhouse Van Houten",28
"Marge Simpson",12
"Otto Mann",12
"Kids",11
"Seymour Skinner",10
"God",5
"Ralph Wiggum",5
"Comic Book Guy",5
"Bill Gates",5
"Sherri Mackleberry",4
"Ned Flanders",4
"Martin Prince",4
"Noah",3
"Lewis Clark",3
"Terri Mackleberry",3
"Wendell Borton",2
"Singing Children",2
"Kent Brockman",1
"Chief Wiggum",1
"Chinese Sailor #1",1
"Chinese Sailor #2",1
"James Earl Jones",1
