name,count
"Simpson Home",61
"Spiro's",34
"Gulp 'N' Blow",14
"Moe's Tavern",14
"Store",14
"Apartment",13
"Rita's Apartment",12
"JUKE JOINT",9
"RETIREMENT CASTLE - ABE'S ROOM",8
"RETIREMENT CASTLE - DAY ROOM",8
"Hospital Room",7
"LAWYER'S OFFICE",6
"Springfield Streets",5
"Springfield Retirement Castle",5
"Old Apartment Complex",5
"Courtroom",4
"Grampa's Room at Springfield Retirement Castle ",4
"Springfield Street - Day",3
"Springfield Town Hall",3
"Springfield Airport",3
"Homer's Car",2
