name,count
"Lisa Simpson",60
"Bart Simpson",32
"Marge Simpson",31
"Homer Simpson",24
"Erin",17
"Milhouse Van Houten",13
"Rick",12
"Dean",6
"Miss Hoover",4
"Ned Flanders",4
"Apu II",3
"Edna Krabappel-Flanders",2
"Lou",2
"Nelson Muntz",2
"Alice",2
"Kid",2
"Lisa's Thoughts",2
"Ice Cream Truck Supervisor",1
"Nerdy Girl",1
"OTHER NERDY GIRL",1
"Chuck",1
"Ralph Wiggum",1
"Becky",1
"Seymour Skinner",1
"Pippi Longstocking",1
"Eustace Tilley",1
"COOL KID VOICE",1
"COOL GIRL VOICE",1
"Ben",1
