name,count
"LAKESIDE MANSION",44
"PLAYGROUND",40
"EDITING ROOM",23
"Simpson Home",22
"Springfield Police Station",11
"Moe's Tavern",9
"Springfield Police Academy",6
"Dept. Store",6
"Park",5
"Springfield High School",5
"Homer and Marge's First Apartment",5
"Himalayas",5
"Springfield Street",4
"Funeral Home",4
"CAF�� DE MEXICO",4
"ART ROOM",3
"GARAGE",3
"LAWN",3
"Courtroom",3
"Marge's Apartment",3
"PLAY FIELD (BLACK AND WHITE)",2
"INFOMERCIAL STUDIO",2
"Upscale Apartment",2
"Farm",1
"Springfield Elementary School",1
"Alleyway",1
"Homer and Marge's Apartment",1
