name,count
"WORDLOAF",52
"Simpson Home",21
"Cocktail Party",14
"Moe's Tavern",13
"Car",11
"American Poetry Perspectives",9
"POND",9
"Simpson Kitchen",8
"Regent Hotel",8
"AREA BESIDE TRACK",7
"SPECTATOR STANDS",5
"SEEDY NEIGHBORHOOD",5
"LECTURE HALL",5
"ROADSIDE MAPLE SYRUP STAND",5
"German Olympic Stadium",4
"Simpson Car",4
"Moe's Bedroom",4
"Main Building",4
"Moe's Apartment",3
"ATHLETIC FIELD",2
"Springfield Elementary School",2
"Springfield High School",1
"DIVING PLATFORM",1
"College-looking Building",1
