name,count
"SPRINGFIELD MARINA - SLIP 8",30
"Simpson Home",26
"Krusty's Mansion",16
"First National Bank of Springfield",13
"Krusty's House",12
"Simpson Car",10
"Springfield Cemetery",9
"BAIT & TACKLE SHOP",9
"Krustylu Studios",8
"IRS Building",8
"LAW FIRM",6
"Skinner Home",6
"Haunted House",5
"Dr. Hibbert's Office",5
"Krusty Burger",4
"DOWNTOWN",3
"Springfield Elementary School",3
"Base Of Mountain",3
"BEACH - A WHILE LATER",2
"Somewhere",1
"Krusty's Street",1
"Kwik-E-Mart",1
"SPRINGFIELD SHORES",1
