name,count
"Springfield Town Hall",53
"Simpson Home",48
"STADIUM",16
"Springfield Town Square",16
"SANITATION COMMISSIONER'S OFFICE",15
"Moe's Tavern",15
"Simpson Living Room",14
"Simpson Dining Room",11
"Backyard",10
"Conference Room",9
"Springfield Nuclear Power Plant",7
"Street",7
"Cliff Above Abandoned Mine Entrance",7
"JET",7
"SPRINGFIELD STADIUM",6
"Homer's Car",5
"Golf Course",5
"CITY CLERK'S OFFICE",3
"Suburban Street",3
"Homer's Office",3
"Springfield Street",2
"Simpson Kitchen",2
"Wiggum's Dining Room",2
"FLANDERS BACK YARD",1
"Cletus' Outhouse",1
