name,count
"Moe Szyslak",51
"Homer Simpson",25
"Marge Simpson",24
"Lenny Leonard",15
"C. Montgomery Burns",8
"Carl Carlson",7
"Young Man",6
"LANEY FONTAINE",6
"HEAD INSPECTOR",5
"Singers",4
"Slava",4
"JIM IGNATOWSKI",4
"BOOK CLUB MEMBER",3
"Nelson Muntz",3
"Gil Gunderson",3
"Young Grampa",2
"Snake Jailbird",2
"Shauna Chalmers",2
"Waylon Smithers",2
"SIKH CAB DRIVER",2
"CHAPIN-LIKE SINGER",2
"SMILE",2
"Little Homer",1
"Chief Wiggum",1
"Grampa Simpson",1
"LADY DUFF",1
"OTHER BOOK CLUB MEMBER",1
"Lisa Simpson",1
"Milhouse Van Houten",1
"Kirk Van Houten",1
"Kearney Zzyzwicz",1
"Groundskeeper Willie",1
"Dr. Julius Hibbert",1
"Luigi",1
"Captain Horatio McCallister",1
"Disco Stu",1
"Mrs. Muntz",1
"Barney Gumble",1
"Krusty the Clown",1
"Drederick Tatum",1
"Dr. Nick Riviera",1
"HARRY CHAPIN-TYPE SINGER",1
