name,count
"Homer Simpson",46
"Lisa Simpson",40
"Marge Simpson",31
"Bart Simpson",18
"Lenny Leonard",6
"Child Therapist",6
"Chief Wiggum",5
"Gravedigger Billy",4
"Dr. Nick Riviera",4
"Lou",4
"Milhouse Slug",4
"Wild Beast #2",4
"Wild Beast #3",4
"Ned Flanders",2
"Carl Carlson",2
"Alexander Graham Bell Hologram",2
"Museum Head",2
"Narrator",2
"Boy",2
"SHADOWY CREATURE",2
"Scratchy",2
"Wild Beast #1",2
"Truck Driver",1
"Workers",1
"Kent Brockman",1
"Vampire Puppet",1
"Frederick Ives Hologram",1
"Katherine Blodgett Hologram",1
"Elisha Gray Hologram",1
"Plant Monster",1
"Pane Of Glass",1
"Shrimp Monster",1
"Milton Burkhart",1
"Groundskeeper Willie",1
"TV Announcer",1
"Cowboy In Black",1
"Ben Cartwright",1
"Security Guard",1
"Eddie",1
"Performer",1
"Grandmotherly Woman",1
"Skull",1
"Bart Spider",1
"WILD BEASTS",1
