name,count
"Hotel",51
"Simpson Home",46
"CAPITAL",20
"Kennedy Center",19
"SENATOR'S OFFICE",15
"Kennedy Center Ballroom",15
"LEGION",13
"Lincoln Memorial",7
"Hall",6
"Airplane",6
"White House",6
"W.B. HOWE MEMORIAL",6
"Jefferson Memorial",6
"Bank",4
"Springfield Nuclear Power Plant",4
"Bureau of Engraving and Printing",4
"Burns's Office",3
"Springfield National Forest",3
"Cockpit",3
"Taxi",3
"VETERANS OF POPULAR WARS HALL",2
"Washington Monument",2
"Moe's Tavern",2
"Cabin",1
"Airport",1
"Elevator",1
"NAT'L AIR AND SPACE MUSEUM",1
"CAPITAL BUILDING",1
