name,count
"Homer Simpson",98
"Howard K. Duff VIII",30
"Marge Simpson",18
"Lisa Simpson",15
"Bart Simpson",12
"Duffman",7
"Henri",6
"Lenny Leonard",5
"Commercial Announcer",4
"Carl Carlson",4
"Moe Szyslak",4
"Sherri Mackleberry",3
"Edna Krabappel-Flanders",3
"Trainer",3
"Reporter",3
"Milhouse Van Houten",3
"P.A. Announcer",3
"Executive",3
"2nd Executive",3
"MAYOR",3
"Souvenir Salesman",2
"Kent Brockman",2
"Kirk Van Houten",2
"Workman",2
"Chavez",2
"Crowd",2
"Testimonial Kid",1
"Blocko Cowboy",1
"Blocko Lincoln",1
"Girl",1
"Nelson Muntz",1
"Booth Attendant",1
"Security Guard",1
"Attendant",1
"Snake Jailbird",1
"Voice",1
"Seymour Skinner",1
"Ralph Wiggum",1
"Chief Wiggum",1
"Vendor #1",1
"Vendor #2",1
"Vendor #3",1
"Otto Mann",1
"SPIRIT",1
"Sideshow Mel",1
"Aide",1
