name,count
"Simpson Home",48
"Sapphire Lounge",40
"Springfield Elementary School",24
"PARTY ROOM",20
"The Rusty Barnacle",17
"Burns's Office",14
"Barney's Apartment",11
"Simpson Bathroom",10
"Master Bathroom",10
"QUICK-E-MART",10
"Springfield Nuclear Power Plant",6
"Moe's Tavern",6
"Bart's Bedroom",5
"Springfield Elementary School Library",5
"Master Bedroom",3
"LEWIS' HOUSE",3
"Foxy Boxing",3
"Springfield Elementary School Playground",2
"Rev. Lovejoy's Study",2
"Kwik-E-Mart Parking Lot",2
"Simpson Front Yard",2
"Florence of Arabia",2
"Girlesque",2
"Street",1
"EXECUTIVE OFFICE",1
"AEROBIC STUDIO",1
"INTERSECTION",1
"Club Mud",1
