name,count
"Airplane",21
"BEIJING STREET",17
"Hospital Room",14
"ZHENGYICI THEATER",13
"Car",11
"Selma's Hospital Room",11
"ADOPTION AFFAIRS OFFICE",11
"CHINESE STREET",10
"Springfield Orphanage",9
"GREAT HALL OF THE PEOPLE",9
"ORPHANAGE",9
"FISHING WHARF",8
"FRONT OF SIMPSON HOUSE",7
"Patty and Selma's Apartment",7
"Hospital",6
"IN FRONT OF SHAOLIN TEMPLE",5
"Simpsons' Hotel",5
"SUBURBAN ROAD",4
"Great Wall of China",4
"INSIDE FORBIDDEN CITY",4
"Airport",4
"Henhouse",3
"Plane",3
"Playhouse",3
"NURSERY",3
"Springfield Nuclear Power Plant",2
"China",1
"MAO'S TOMB",1
"NEXT ROOM",1
