name,count
"Homer Simpson",52
"Bart Simpson",36
"Marge Simpson",31
"Lisa Simpson",22
"Kang",16
"Chief Wiggum",15
"Snake Jailbird",9
"Jerry Springer",9
"Kodos",7
"Scratchy",6
"Dr. Nick Riviera",5
"Apu Nahasapeemapetilon",4
"Moe Szyslak",4
"Regis Philbin",4
"Ed McMahon",3
"Itchy",3
"Audience",3
"Woman In Audience",3
"TV Announcer",2
"Kent Brockman",2
"Krusty the Clown",2
"KATHIE LEE",2
"Maggie Simpson",2
"Studio Audience",1
"Barney Gumble",1
"Lou",1
"Krusty Doll",1
"Poochie",1
"Dr. Julius Hibbert",1
