name,count
"Homer Simpson",54
"Marge Simpson",38
"TABITHA",22
"BUCK",20
"Baseball Announcer",10
"Bart Simpson",9
"Moe Szyslak",9
"Grampa Simpson",8
"Lisa Simpson",5
"Duffman",5
"Detective #2",4
"Carl Carlson",4
"Sports Talk Radio Host",4
"Kent Brockman",3
"Lenny Leonard",3
"HUNCH",2
"Sideshow Mel",2
"H.K. Duff",2
"Crowd",2
"Announcer",1
"DETECTIVE #1",1
"Female Left-fielder",1
"Jasper Beardly",1
"P.A. Announcer",1
"Dr. Julius Hibbert",1
"BUCK/TABITHA",1
"2nd Duffman",1
"DUFFMEN",1
"Tito",1
