name,count
"Simpson Living Room",43
"Department of Motor Vehicles",30
"Simpson Home",19
"Springfield Elementary School",18
"Limousine",18
"CORPORATE BOARDROOM",16
"Simpson Dining Room",15
"Springfield Street",12
"Ballet Class",10
"Driver's Test Car",10
"",9
"First National Bank of Springfield",9
"Street",8
"Springfield Elementary School Gym",7
"Springfield Elementary School Auditorium",6
"Simpson Kitchen",5
"DOORWAY",4
"Springfield Nuclear Power Plant",4
"Moe's Tavern",3
"Discount Brokerage",2
"Gym",2
"Swimming Pool",1
