name,count
"Bart Simpson",46
"Homer Simpson",32
"Lisa Simpson",25
"Grampa Simpson",18
"Marge Simpson",15
"Seymour Skinner",13
"Ioc Chairman",8
"Sweet Elderly Lady",6
"Jasper Beardly",6
"Kids",5
"Nurse",5
"Old Jewish Man",5
"Russian Representative",4
"Chief Wiggum",4
"Gary Chalmers",4
"Seniors",4
"Moe Szyslak",4
"French Representative",3
"Milhouse Van Houten",3
"Nelson Muntz",3
"Jack LaLanne",3
"Representative",2
"Kent Brockman",2
"C. Montgomery Burns",2
"Mayor Joe Quimby",2
"Selma Bouvier",2
"Agnes Skinner",2
"Lenny Leonard",2
"Other Seniors",2
"Native-american Man",2
"Captain Horatio McCallister",2
"Latin Representative",1
"OTHER REPRESENTATIVES",1
"JAPANESE REPRESENTATIVE",1
"Crowd",1
"Patty Bouvier",1
"Olympic Representatives",1
"Martin Prince",1
"Delivery Man",1
"Scarlett",1
"Rhett",1
"Hans Moleman",1
"Orderly",1
"Waylon Smithers",1
