name,count
"Simpson Home",84
"KRUSTY SET",22
"Backstage",18
"Krusty's Dressing Room",17
"Radio Station",17
"Park",16
"Lower East Side of Springfield",15
"Izzy's Deli",15
"Rev. Lovejoy's Office",12
"GROSSINGERS",9
"Springfield Library",7
"Krustofsky Home",6
"RABBI'S OFFICE",6
"KRUSTY THE CLOWN SHOW",5
"MISS PENNYCANDY'S OFFICE",5
"TEMPLE HALLWAY",5
"Van Houten Home",3
"Yeshiva Classroom",2
"Bus Station",2
"Rabbi Krustofsky's Bedroom",2
"Temple Beth Springfield",2
"YIDDLE'S SHOP",2
"STEAMBATH",2
"Gammill's Home",2
"BACKSTAGE AT THE KRUSTY SHOW",1
"Krusty's Apartment",1
"PENNYCANDY'S OFFICE",1
"Temple",1
"Krusty's Office",1
