name,count
"Simpson Home",29
"Castle",23
"PENELOPE AND ODYSSEUS'S LIVING ROOM",17
"ISLAND OF CIRCE",15
"FIELD OUTSIDE FORTRESS",15
"HAMLET'S BEDCHAMBER",14
"Throne Room",14
"Field",13
"FRENCH HOUSE",9
"Ithaca",8
"PLAIN",7
"Ship",7
"FRENCH THRONE ROOM",7
"Courtroom",7
"KING'S BEDCHAMBER",7
"Mt. Olympus",6
"FEASTING HALL",6
"Springfield Town Square",5
"Homer's Ship",4
"Ocean",4
"Barn",4
"FLAMING RUINS OF TROY",3
"Simpson Living Room",3
"INSIDE CITY OF TROY",2
"River Styx",2
"RAMPARTS OF ENGLISH CASTLE",2
"MEDIEVAL FRENCH TOWN",1
