name,count
"Homer Simpson",70
"Bart Simpson",40
"Marge Simpson",33
"C. Montgomery Burns",13
"Lisa Simpson",9
"Milhouse Van Houten",9
"Barney Gumble",8
"Princess Kashmir",6
"Gulliver Dark",6
"Waiter",5
"Martin Prince",5
"Waylon Smithers",5
"Carl Carlson",4
"Mr. Fisk",3
"Workers",2
"Lenny Leonard",2
"Girl #1",2
"Freddie",2
"Lewis Clark",2
"Lewis's Dad",2
"Clerk",2
"Moe Szyslak",2
"Ticket-seller",2
"Theatre-goer #1",2
"Female Mail Carrier",1
"Eugene Fisk",1
"Hoyt",1
"Boy #1",1
"All Kids",1
"Al",1
"Secretary",1
"Rev. Timothy Lovejoy",1
"Happy Man",1
"Little Boy",1
"Funky Guy",1
"Manager",1
"Man At Door",1
"Stage Manager",1
"Theatre-goer #2",1
"Theatre-goer #3",1
