name,count
"Springfield Zoo",50
"Springfield Nuclear Power Plant",36
"ANNOUNCERS' BOOTH",28
"The Singing Sirloin",24
"FINANCIAL PLANNING OFFICE",18
"Dr. Hibbert's Office",11
"Simpson Car",10
"Burns's Office",10
"The Android's Dungeon & Baseball Card Shop",8
"SPRINGFIELD STADIUM",8
"HABITAT",8
"Simpson Home",6
"BEGINNING OF PARADE ROUTE",6
"Supply Closet",5
"Theater",5
"Mr. Costington's Office",5
"PARADE ROUTE",5
"Mrs. Krabappel's Classroom",4
"Store",4
"Costington's Toy Department",4
"Announcer's Booth",3
"Springfield",2
