name,count
"OUT AT SEA",25
"PATROL MEETING ROOM",24
"Simpson Living Room",21
"Springfield Elementary School",20
"Bart's Bedroom",16
"THE RIVER",14
"Street",13
"Noiseland Arcade",8
"OUTSIDE THE KWIK-E-MART",8
"BUSY MAIN STREET",8
"Simpson Kitchen",8
"Ocean",8
"Kwik-E-Mart",7
"THE SIDE OF THE RIVER",7
"RAFT",7
"OFFSHORE OIL RIG",7
"SPRINGFIELD STREET CORNER",6
"Springfield Elementary School Hallway",6
"Woods",6
"Homer's Bedroom",3
"Boat",3
"OUTSIDE THE ARCADE",2
"SEEDY SPRINGFIELD STREET",2
"UPSTAIRS HALLWAY",2
"Springfield Police Station",2
"SECURITY OFFICE",1
"FREIGHTER",1
