name,count
"Simpson Home",37
"Simpson Kitchen",23
"FUNCTION ROOM",20
"Highway",20
"MINI-GOLF COURSE",19
"Evergreen Terrace",17
"Hospital",14
"SPRINGFIELD PUBLIC PARK",12
"Car",12
"Parking Lot",11
"Homer's Car",9
"Seaside Caf̩",9
"Hospital Room",8
"Hallway Outside Marge's Hospital Room",7
"Marge's Hospital Room",7
"Springfield Retirement Castle",7
"FLANDERS' FRONT PORCH",6
"CURB",5
"Simpson Living Room",4
"Banquet Hall",3
"Shelbyville Inn",3
"Luigi's",2
"Sidewalk",2
"Grampa's Room at Springfield Retirement Castle ",2
