name,count
"Homer Simpson",49
"Lisa Simpson",35
"Marge Simpson",22
"Luke",16
"Bart Simpson",15
"David Byrne",14
"The Rich Texan",8
"Ned Flanders",6
"Carl Carlson",6
"Cookie",6
"Chief Wiggum",6
"Blue-Haired Lawyer",5
"Moe Szyslak",5
"Native American",5
"Clara",5
"C. Montgomery Burns",2
"Springfielders",2
"Apu Nahasapeemapetilon",2
"Bill",2
"Comic Book Guy",2
"Snake Jailbird",1
"Waylon Smithers",1
"Krusty the Clown",1
"Rabbi Hyman Krustofsky",1
"Lenny Leonard",1
"Todd Flanders",1
"Rod Flanders",1
"Choir",1
"Rev. Timothy Lovejoy",1
"Marty",1
"William Shatner",1
"Wrangler #1",1
"Voice",1
"Cleanie",1
"Dr. Julius Hibbert",1
"Girl",1
"Native American Woman",1
"Brave",1
"Caller",1
