name,count
"Adult Bart",47
"Adult Lisa",37
"Homer Simpson",26
"Marge Simpson",20
"Skippy",9
"Jiff",8
"Adult Milhouse",7
"Grampa Simpson",6
"Zia",6
"Adult Kearney",6
"Apu Nahasapeemapetilon",5
"Bart Simpson",4
"Carl",4
"Nurse",3
"Dr. Julius Hibbert",3
"Lenny",3
"Robot Doctor",2
"Guitarist",2
"Ned Flanders",2
"Passenger",2
"Adult Nelson",2
"Lisa Simpson",1
"Elderly Principal Skinner",1
"Holo-book",1
"Maude's Ghost",1
"Ticket Agent",1
"Recorded Announcement",1
"Australian Man",1
"Stewardess",1
"Aged Burns",1
"Tree",1
"Aged Krusty",1
"Selma Bouvier",1
"Handsome Male Android",1
"Delivery Nurse",1
"Manjula Nahasapeemapetilon",1
"Ralph Wiggum",1
"Adult Ralph",1
"Adult Ralph #2",1
"Adult Ralph #3",1
"Moe Szyslak",1
"Attendant",1
