name,count
"Homer Simpson",75
"Marge Simpson",37
"Bart Simpson",16
"C. Montgomery Burns",11
"Lenny Leonard",9
"Nelson Muntz",9
"Carl Carlson",7
"Lisa Simpson",6
"Dr. Carlock",6
"Milhouse Van Houten",5
"Waylon Smithers",4
"Will Lyman",4
"Receptionist",4
"Moe Szyslak",4
"Thought Bubble Moe",4
"Glasses",3
"Homer's Thoughts",3
"Jonesy",2
"Charlie",2
"DOLPH",2
"Ralph Wiggum",2
"Stress Ball",1
"Anonymous Expert",1
"Squeaky-Voiced Teen",1
"Hershey's Kid",1
"Owl Valentine",1
"Grampa Simpson",1
"Jimbo Jones",1
