name,count
"Simpson Home",38
"Moe's Tavern",25
"CRAFTSMAN BUNGALOW",16
"Bus",15
"Car Dealership",14
"FERTILITY CLINIC",14
"AUTO DEALERSHIP",11
"IGLOO MOTOR LODGE",10
"Evergreen Terrace",9
"Dr. Hibbert's Office",9
"MARGE'S HATCHBACK",8
"REST STOP",8
"CAVERN",7
"MARGE'S NEW CAR",7
"Waiting Room",6
"Springfield Elementary School",5
"GARAGE",4
"Highway",4
"DRIVE-IN THEATER",4
"The Android's Dungeon & Baseball Card Shop",3
"Springfield Streets",3
"ROUTE 33",3
"Museum of Christmas Ornaments",3
"Marge's Car",2
"Simpson Car",1
"Car",1
"Shelbyville",1
