name,count
"SKATING RINK",44
"Simpson Kitchen",26
"Lisa's Bedroom",23
"Simpson Living Room",17
"HOCKEY RINK",15
"Springfield Elementary School Auditorium",13
"Apu's Apartment",11
"Simpson Home",7
"Bart's Classroom",7
"Springfield Elementary School Hallway",6
"SKATING RINK LOCKER ROOM",5
"Springfield Prison",5
"Springfield Skating Rink",4
"KITCHEN",4
"GYM TEACHER'S OFFICE",3
"THE STEPS OF THE CAPITOL",3
"MONSTER ISLAND",3
"Simpson Backyard",3
"Car",2
"Springfield Elementary School Yard",2
"ICE RINK",2
"Bart's Bedroom",1
"GYMNASIUM",1
