name,count
"Bart Simpson",41
"THE REAL BOB",32
"Marge Simpson",28
"Homer Simpson",21
"THE REAL WALT",16
"Chief Wiggum",10
"WALT",8
"Lisa Simpson",7
"Milhouse Van Houten",6
"Guard",6
"Joyce",6
"Mayor Joe Quimby",4
"Lou",4
"Mexican Man",4
"Man",4
"NEW NEIGHBOR",3
"Prison Worker",3
"Ned Flanders",3
"Seymour Skinner",2
"Icelandic Man",2
"2nd Icelandic Man",2
"Sideshow Bob",2
"Prisoners",2
"New Jersey Patrolman",2
"Thought Bubble Marge",1
"Gary Chalmers",1
"Apu Nahasapeemapetilon",1
"Cookie Kwan",1
"Lenny Leonard",1
"Southern State Trooper",1
"Midwestern Trooper",1
"Bonnie",1
