name,count
"Simpson Living Room",26
"Simpson Kitchen",25
"Lisa's Bedroom",19
"Springfield Street",15
"Wjazz",13
"SPRINGFIELD CEMETERY DAY",12
"Operating Room",10
"Hospital Room",10
"Springfield Bridge",10
"Bleeding Gums Murphy's Hospital Room",10
"CLASSROOM",9
"French Classroom",9
"HOSPITAL ROOM A FEW HOURS LATER",8
"Auditorium",7
"MURPHY'S HOSPITAL ROOM",6
"The Jazz Hole",6
"STEVE ALLEN SHOW",5
"COSBY SHOW LIVING ROOM",5
"Springfield Town Hall",5
"The Android's Dungeon & Baseball Card Shop",5
"Hospital Hallway",4
"Bart's Treehouse",4
"Swanky Department Store",3
"Springfield Elementary School",3
"Nurses Office A Little Later",2
"Alley",2
"Street",2
