name,count
"Bart Simpson",50
"Milhouse Van Houten",33
"Samantha Stanky",22
"Homer Simpson",21
"Marge Simpson",15
"Edna Krabappel-Flanders",11
"Lisa Simpson",10
"Seymour Skinner",7
"TROY",7
"Female Announcer",5
"Martin Prince",5
"Mr. Stanky",4
"Nelson Muntz",2
"Otto Mann",2
"Kent Brockman",2
"Worker #1",2
"Dr. Marvin Monroe",2
"Man",2
"Woman",2
"Luann Van Houten",2
"Lewis Clark",1
"Kids",1
"Announcer",1
"Grave Digger",1
"Crane Operator",1
"Operator",1
"Worker #2",1
"Chuck",1
"Ralph Wiggum",1
"Kirk Van Houten",1
"Nun",1
"NUN #2",1
