name,count
"GAMESHOW SET",35
"Simpson Home",21
"Springfield Convention Center",15
"The Java Server",14
"Flanders Home",14
"Airport",13
"Hotel Room",13
"FISH GUTTING FACTORY",13
"Airplane",12
"Street",12
"Sumo Stadium",10
"AMERICATOWN RESTAURANT",9
"33 Cent Store",8
"Plane",6
"TOKYO FRUIT STAND",6
"Simpson Hotel Room",5
"RIM OF VOLCANO",5
"Volcano",5
"Simpson Car",4
"AMERICAN EMBASSY",4
"TOKYO HOTEL",3
"Moe's Tavern",3
"TOKYO STREET",2
"ELEGANT TEA ROOM",2
"TOKYO SKYLINE",1
"Tokyo",1
"Hallway",1
