name,count
"Bart Simpson",60
"Marge Simpson",35
"Lisa Simpson",17
"Homer Simpson",14
"Milhouse Van Houten",13
"Denis Leary",12
"Warrior Statue",7
"Dr. Julius Hibbert",4
"Seymour Skinner",3
"Agnes Skinner",3
"Nelson Muntz",3
"Groundskeeper Willie",3
"Brian Grazer",3
"Swedish Bartender",3
"The Rich Texan",2
"Krusty the Clown",2
"Director",2
"Hawaiian Bartender",2
"Moe Szyslak",2
"Wendell Borton",1
"DOLPH",1
"Jimbo Jones",1
"Martin Prince",1
"Barney Gumble",1
"Kearney Zzyzwicz",1
"Rainier Wolfcastle",1
"Australian Bartender",1
"Australian Barfly",1
"Fbi Agent",1
"Fbi Agent #2",1
