name,count
"Simpson Home",36
"Courtroom",22
"Springfield Town Square",20
"Kwik-E-Mart",20
"Springfield Library",16
"Duff World Records Office",15
"YACHT",14
"Moe's Tavern",10
"MOTHERLOVING SUGAR",10
"Waterfront",10
"Street",9
"Springfield Harbor",9
"Simpson Kitchen",7
"Car",6
"Springfield",6
"Meeting Room",6
"BRIDGE OF YACHT",6
"Springfield Town Hall",4
"Cletus's Shack",4
"Wiggum Home",3
"Springfield Elementary School",3
"Beach",3
"DOCK AREA",3
"Caribbean Sea",2
"Duff Brewery",2
"DISCO STU'S '70S-STYLE BACHELOR PAD",1
"LARD LAD DONUT SHOP",1
"LARD LAD",1
"Boat",1
