name,count
"Springfield Town Hall",57
"Simpson Home",44
"COMMAND CENTER",18
"Monorail Conductor Class",14
"Monorail Cockpit",14
"Miss Hoover's Classroom",13
"Springfield Central Monorail Platform",8
"North Haverbrook",7
"CAFE",7
"MONORAIL PLATFORM",7
"Other Part of Nuclear Plant",6
"Cockpit",6
"HALL OF RECORDS",6
"Office",5
"Monorail Dais",5
"Main Street",5
"Springfield County Court House",4
"Monorail",4
"Monorail Cabin",4
"Springfield Park",3
"Simpson Car",3
"Springfield Nuclear Power Plant",2
"Monorail Construction Site",2
"Airplane",2
"Springfield Street",1
"LANLEY'S OFC.",1
"Cabin",1
"Doctors Office",1
"ANCHOR STORE",1
"Springfield",1
