name,count
"Homer Simpson",58
"Marge Simpson",21
"Lisa Simpson",17
"Bart Simpson",13
"Milhouse Van Houten",13
"Meaux",9
"Bart-man",9
"The Rich Texan",6
"C. Montgomery Burns",6
"Martin Prince",5
"Grampa Simpson",4
"Gendarme Wiggum",4
"Lenny Leonard",4
"Chief Wiggum",3
"Judge Snyder",2
"Carl Carlson",2
"Seymour Skinner",2
"Kearney Zzyzwicz",2
"Groundskeeper Willie",2
"Apu Nahasapeemapetilon",2
"Radio Announcer",2
"The Serpent",2
"Man In The Iron Mask",1
"Footman Mel",1
"Townspeople",1
"All Partygoers",1
"Database",1
"DOLPH",1
"Jimbo Jones",1
"Speaker",1
"Kid",1
"Nelson Muntz",1
"Snake Jailbird",1
"Bandit",1
"Poison Lenny",1
"Lou",1
"Lindsay Naegle",1
"Sideshow Mel",1
"Krusty the Clown",1
"Bathing Beauty",1
