name,count
"Simpson Home",43
"Beach",32
"Back Room of Moe's",22
"Krusty's Booth",20
"SOPHIE'S LOFT",15
"PANEL DISCUSSION TENT",14
"SAND DUNE",14
"Fat Tony's Compound",13
"CITY PARK",13
"SOPHIE'S BUILDING",11
"Krusty's Car",10
"Springfield Festival of Books",8
"Tent",7
"Meeting Room",7
"STEPHEN KING'S BOOTH",6
"Kwik-E-Mart",6
"Apartment Building",4
"Hallway",4
"Dr. Nick Riviera's Booth",3
"BOOKS FOR DUMMIES SECTION",3
"CHILDREN'S STAGE",3
"Fat Tony's Bedroom",3
"FAT TONY'S HOUSE",3
"Backyard",2
"PROF. FRINK'S BOOTH",2
"Desert",1
