name,count
"Simpson Home",71
"Bart's Treehouse",28
"School Bus",27
"Park",27
"NEAR SCHOOL ENTRANCE",20
"Grampa's Room at Springfield Retirement Castle ",16
"Herman's Military Antiques",15
"Base Of Tree Below Bart's Treehouse",15
"PLAYGROUND",12
"MORTUARY",9
"Springfield Elementary School Cafeteria",8
"ANOTHER NEIGHBORHOOD STREET",8
"Springfield Retirement Castle",5
"Outside Herman's Military Antiques",5
"STAIRCASE",4
"CITY PARK",4
"Street",3
"Springfield Elementary School Hallway",2
"Bart's Class In School",1
"NEIGHBORHOOD STREET",1
"PARADING DOWN ELM STREET",1
"Springfield Library",1
