name,count
"Homer Simpson",55
"Bart Simpson",26
"Lisa Simpson",25
"Marge Simpson",18
"Groundskeeper Willie",11
"Chief Wiggum",9
"Seymour Skinner",7
"Professor Jonathan Frink",7
"Martin Prince",5
"Selma Bouvier",5
"Mr. Van Brunt",4
"Rev. Timothy Lovejoy",4
"Patty Bouvier",4
"Ned Flanders",3
"Teenage Clerk",2
"Kent Brockman",2
"Paul Anka",2
"Townspeople",2
"Kang",2
"Santa's Little Helper",2
"Nelson Muntz",2
"All Parents",2
"Edna Krabappel-Flanders",2
"Grampa Simpson",2
"Krusty the Clown",2
"Dr. Julius Hibbert",2
"Radio Announcer",1
"College Students",1
"Store Owner",1
"Otto Mann",1
"Lou",1
"Kodos",1
"Kirk Van Houten",1
"Tv Announcer #1",1
"Tv Announcer #2",1
"Homer's Mouth",1
"Homer's Brain",1
