name,count
"Homer Simpson",54
"Sideshow Bob",37
"Lisa Simpson",24
"Marge Simpson",20
"Bart Simpson",14
"C. Montgomery Burns",13
"Krusty the Clown",13
"Francesca Terwilliger",8
"Gino",8
"Goat Woman",5
"Nelson Muntz",4
"Chief Wiggum",4
"Female Announcer",3
"Lamborgotti Executive",3
"Edna Krabappel-Flanders",2
"Gondola Driver",2
"Italian Sausage Maker",1
"Kids",1
"Groundskeeper Willie",1
"Kolani",1
"Titi",1
"Nene Bird",1
"Waylon Smithers",1
"Martin Prince",1
"Cletus Spuckler",1
"Brandine Del Roy",1
"MAYOR",1
"Female Grape Stomper",1
"Male Grape Stomper",1
"Villager",1
"Woman's Voice",1
"Lou",1
"Toddler",1
"GOAT LADY",1
"Man In Audience",1
