name,count
"Simpson Home",69
"GYMNASIUM",24
"ROGER MEYERS' OFFICE",20
"Springfield Civic Center",18
"Springfield High School",17
"Cartoon Barber Shop",12
"Springfield Retirement Castle",11
"Simpson Living Room",10
"Grampa's Room at Springfield Retirement Castle ",8
"Springfield High School Classroom",8
"Gym",7
"KRUSTY THE CLOWN SHOW",6
"Itchy & Scratchy Studios",6
"Grampa's Office",6
"Rod And Todd's Bedroom",6
"WRITERS' OFFICE",5
"Bart and Lisa's Bedroom",4
"Audience",4
"CLASSROOM",3
"Animation Building",2
"Krustylu Studios",2
