name,count
"Homer Simpson",86
"Lisa Simpson",64
"Marge Simpson",25
"Bart Simpson",15
"Lisa's Thoughts",13
"New Age Clerk",10
"Omnitouch Rep",9
"Deep Male Voice",7
"Repo Man #1",5
"Lenny Leonard",4
"Dr. Julius Hibbert",4
"Marty",3
"Security Guard #1",3
"Security Guard #2",3
"Seymour Skinner",3
"Agnes Skinner",3
"Milhouse Van Houten",3
"Repo Man #2",3
"Chief Wiggum",3
"Carl Carlson",2
"Bill",2
"Krusty the Clown",2
"Moe Szyslak",2
"Ned Flanders",2
"Rod Flanders",2
"Ralph Wiggum",2
"Radio Announcer",1
"Magician",1
"Homer's Brain",1
"Maude Flanders",1
"Todd Flanders",1
"Louie",1
"Announcer",1
