name,count
"Homer Simpson",42
"Marge Simpson",31
"Bart Simpson",17
"Lisa Simpson",13
"Baseball Announcer",10
"Rev. Timothy Lovejoy",10
"Joe Laboot",10
"Helen Lovejoy",7
"Moe Szyslak",6
"Ned Flanders",5
"Milhouse Van Houten",5
"Chief Wiggum",5
"Mayor Joe Quimby",4
"Shelbyville Manager",4
"Umpire",3
"Mr. Costington",3
"Kearney Zzyzwicz",3
"Old Bart",3
"Ghost Homer",3
"C. Montgomery Burns",2
"Saleswoman",2
"Dr. Julius Hibbert",2
"Crowd",2
"Springfield Fans",2
"Apu Nahasapeemapetilon",2
"DOLPH",2
"Grampa Simpson",2
"Rod Flanders",2
"Lenny Leonard",2
"Old Milhouse",2
"Ghost Marge",2
"Professor Jonathan Frink",1
"Groundskeeper Willie",1
"Nelson Muntz",1
"Waylon Smithers",1
"HOMER (CONT'D",1
"The Rich Texan",1
"Spanish Baseball Announcer",1
"Krusty the Clown",1
"Bill",1
"Marty",1
"Homeless Man",1
