name,count
"Marge Simpson",68
"Homer Simpson",55
"Lionel Hutz",30
"Snake Jailbird",19
"Ned Flanders",19
"Lisa Simpson",11
"Bart Simpson",9
"Chief Wiggum",7
"Moe Szyslak",7
"Maude Flanders",7
"Gil Gunderson",6
"Dr. Julius Hibbert",4
"Seymour Skinner",3
"Nick",3
"Sideshow Mel",3
"Other Realtors",3
"Johnny D",2
"Cookie",2
"Assorted Agents",2
"Lionel Hutz's Head",2
"Kirk Van Houten",2
"Todd Flanders",2
"SOUTH AMERICAN BIDDER",1
"City Clerk",1
"Captain Horatio McCallister",1
"Kearney Zzyzwicz",1
"Lenny Leonard",1
"Female Victim",1
"Dove",1
"Rod Flanders",1
"George H.W. Bush",1
