name,count
"Moe's Tavern",25
"CENTER OF WORLD TRADE CENTER PLAZA",19
"Simpson Home",16
"WORLD TRADE CENTER PLAZA",16
"Theater",16
"MIDTOWN STREET",14
"Bus",11
"42ND STREET BETWEEN 8TH AND 7TH - '70S",10
"Central Park",9
"CHINATOWN STREET",8
"MAD RECEPTION AREA",8
"Phone Booth",7
"Terminal",6
"Homer's Car",5
"Sidewalk",5
"Subway Car",4
"MIDTOWN AVENUE",4
"George Washington Bridge",3
"CROWN OF STATUE",2
"Another Subway Car",2
"WORLD TRADE CENTER TOWER LOBBY",2
"Times Square",2
"Lincoln Tunnel",1
"IMMIGRANT SHIP",1
"WORLD TRADE CENTER TOWER",1
