name,count
"Homer Simpson",46
"Artie Ziff",42
"Marge Simpson",27
"Lisa Simpson",20
"Bart Simpson",12
"Selma Bouvier",9
"Lenny Leonard",8
"Kent Brockman",6
"Moe Szyslak",5
"Grampa Simpson",4
"Patty Bouvier",4
"Sec Agent #1",3
"Guard",3
"Ticket Vendor",2
"Carl Carlson",2
"Creepy Little Girl",2
"Groundskeeper Willie",2
"Sec Agent #2",2
"Committee Chairwoman",2
"Blue-Haired Lawyer",2
"Rod Flanders",1
"Ned Flanders",1
"Squeaky-Voiced Teen",1
"M.C. Safety",1
"Todd Flanders",1
"Mysterious Noise",1
"Aristotle",1
"Seymour Skinner",1
"Lou",1
"Chief Wiggum",1
"Barney Gumble",1
"Krusty the Clown",1
"Arties",1
"Snake Jailbird",1
