name,count
"Simpson Home",45
"MAXINE'S OFFICE",23
"Burns Manor",23
"Springfield Nuclear Power Plant",18
"Evergreen Terrace",17
"Patty and Selma's Apartment",16
"Skinner Home",16
"FRACKING BUILDING",12
"Springfield Elementary School",10
"STATE CAPITOL BUILDING",5
"Burns's Bedroom",5
"Farmhouse",4
"Office",4
"UPSCALE HOTEL ROOM",4
"THE RICH TEXAN'S MANSION",3
"STRANGE BUILDING",3
"Channel 6 News Desk",3
"Springfield Downs Dog Track",2
"LARGE, BOXY BUILDING",2
"CAPITOL CITY",1
"STATE HOUSE",1
"FRACKING SITE",1
