name,count
"Michael",31
"Otto Mann",25
"Fat Tony",24
"Homer Simpson",24
"Marge Simpson",18
"Lisa Simpson",16
"Bart Simpson",12
"Nelson Muntz",9
"Dante Calabresi",8
"DANTE JR.",7
"Louie",6
"Kids",4
"Seymour Skinner",4
"Milhouse Van Houten",3
"Groundskeeper Willie",3
"Johnny Tightlips",3
"Moe Szyslak",3
"Krusty the Clown",3
"Kearney Zzyzwicz",2
"James Hetfield",2
"Kirk Hammett",2
"Sherri Mackleberry",2
"Terri Mackleberry",2
"Dewey Largo",2
"Lunchlady Dora",2
"Primo",2
"Ned Flanders",2
"Martin Prince",1
"Dragon",1
"Lars Ulrich",1
"Hans Moleman",1
"Robert Trujillo",1
"Ralph Wiggum",1
"Calabresis",1
"Dr. Julius Hibbert",1
