name,count
"Lisa Simpson",79
"Bart Simpson",49
"Homer Simpson",21
"Marge Simpson",18
"Chief Wiggum",10
"Ned Flanders",7
"Dr. Julius Hibbert",7
"Kent Brockman",6
"Todd Flanders",6
"Rev. Timothy Lovejoy",4
"Krusty the Clown",4
"JANEY",3
"Comedy Nurse",2
"Rod Flanders",2
"Mayor Joe Quimby",2
"Colonel Leslie Hapablap",2
"Limo Driver",2
"Man In Lower Outhouse",1
"Ralph Wiggum",1
"Maggie Simpson",1
"Rainier Wolfcastle",1
"Hans Moleman",1
"Distressed Yuppie",1
"Moe Szyslak",1
"Young Italian Man #1",1
"Paramedic",1
"Emergency Operator",1
"Snake Jailbird",1
"Dr. Nick Riviera",1
"Waylon Smithers",1
"Jasper Beardly",1
"Comic Book Guy",1
"Seymour Skinner",1
"Maude Flanders",1
"Lenny Leonard",1
"Otto Mann",1
"Sideshow Mel",1
"Helen Lovejoy",1
