name,count
"Moe Szyslak",41
"Waylon Smithers",30
"Seymour Skinner",22
"C. Montgomery Burns",15
"Bart Simpson",13
"Homer Simpson",11
"Ms. Juniper",10
"Grady",7
"Grizzly Shawn",7
"Dewey Largo",6
"Gary Chalmers",6
"Lenny Leonard",5
"Julio",5
"Bouncer",4
"Comic Book Gay",4
"Melody",4
"Blue-Haired Lawyer",3
"Marge Simpson",3
"Tranny #2",3
"Patty Bouvier",3
"Carl Carlson",2
"Kids",2
"Devil Moe",2
"Agnes Skinner",2
"Groundskeeper Willie",2
"Distinguished Older Gentleman",2
"Fat Late Shift Worker",1
"Mr. Burns Heads",1
"Barney Gumble",1
"Grampa Simpson",1
"Old Jewish Man",1
"Super-hairy Wonder Woman",1
"Lisa Simpson",1
"Milhouse Van Houten",1
"DISTINGUISHED OLDER GENTLEMEN",1
"Tranny #1",1
"Gays",1
"Bar Customers",1
