name,count
"Homer Simpson",80
"Bart Simpson",34
"Marge Simpson",32
"Lisa Simpson",15
"Grampa Simpson",6
"Lenny Leonard",5
"Carl Carlson",5
"Old Jewish Man",4
"C. Montgomery Burns",4
"Barney Gumble",4
"Moe Szyslak",4
"Jasper Beardly",3
"Apu Nahasapeemapetilon",3
"Kent Brockman",3
"Chris Martin",3
"Old Italian Man",3
"Nurse",3
"Homer's Thoughts",3
"Thought Bubble Lenny",2
"Thought Bubble Marge",2
"Rev. Timothy Lovejoy",2
"Dave",2
"Driver",2
"Pilot",2
"Edna Krabappel-Flanders",2
"Waylon Smithers",1
"Bumblebee Man",1
"Man #2",1
"Chief Wiggum",1
"Krusty the Clown",1
"Valerie",1
"Homer's Spirit",1
"Lottery Official",1
"Uncle Sam",1
"Magic Mirror",1
"2nd Nurse",1
"Milhouse Van Houten",1
