name,count
"Simpson Home",88
"Moe's Tavern",24
"Springfield Town Hall",19
"STARK ROOM",18
"Computer Store",16
"Highway",12
"ISLAND COMMUNITY ROOM",11
"Springfield Nuclear Power Plant",10
"PLANT",10
"Kwik-E-Mart",10
"Island",10
"Springfield Police Station",9
"Burns's Office",6
"Beach",5
"Evergreen Terrace",4
"Skinner Home",4
"The Android's Dungeon & Baseball Card Shop",3
"Flanders Home",3
"Phone Booth",2
"Wooded Area",2
"WATERS AROUND ISLAND",2
"NUMBER 2'S LAIR (STARK ROOM)",2
"Dr. Hibbert's Office",1
"REAL KWIK-E-MART",1
