name,count
"Homer Simpson",37
"Bart Simpson",36
"Lisa Simpson",31
"Marge Simpson",18
"Devil",18
"C. Montgomery Burns",11
"Milhouse Van Houten",7
"Seymour Skinner",6
"Grampa Simpson",5
"Ned Flanders",5
"Lionel Hutz",4
"Waylon Smithers",3
"Demon Technician",3
"Richard Nixon",3
"Blackbeard",3
"Chief Wiggum",3
"Otto Mann",3
"Exchange Student",3
"Skeleton Judge",2
"Benedict Arnold",2
"Jimbo Jones",2
"Kang",2
"Groundskeeper Willie",2
"Kent Brockman",2
"Carl Carlson",1
"Mr. Boswell",1
"Lenny Leonard",1
"Pieces Of Homer",1
"Lizzie Borden",1
"Martin Prince",1
"Hans Moleman",1
"Ralph Wiggum",1
"KODO",1
"GROUNDKEEPER WILLIE",1
"Nelson Muntz",1
