name,count
"Springfield Elementary School",55
"Simpson Home",43
"Skinner's Office",19
"Springfield Elementary School Psychologist's Office",17
"Miss Hoover's Classroom",15
"Springfield Elementary School Hallway",12
"Li'l Ludwig's Music School",11
"Alley",11
"Teachers' Lounge",11
"Bouvier House",8
"Springfield",8
"Police Car",7
"Courtroom",7
"Mrs. Krabappel's Classroom",6
"Squad Car",6
"OUTDOOR PARKING LOT",5
"Girls Bathroom",4
"DREAM CLOUD",2
"Who's To Know Motel",2
"National Testing Center",1
"WINFIELD RESIDENCE",1
"Fleeing Car",1
"Kwik-E-Mart",1
"Street",1
"Warehouse District",1
"DETENTION ROOM",1
