name,count
"Simpson Home",78
"Springfield Elementary School",43
"Springfield Mall",16
"PARK PLAYGROUND",11
"Bart's Bedroom",10
"Lisa's Bedroom",9
"",8
"Homer's Car",7
"Simpson Living Room",6
"SUBWAY CONTROL BOOTH",4
"Hallway",4
"First Church of Springfield",4
"Springfield Street",4
"Abandoned Subway Station",4
"Flanders Home",3
"Springfield Nuclear Power Plant",3
"Skinner Home",3
"Master Bathroom",2
"FUTURISTIC WORLD",2
"Homer's Office",1
"SUBWAY STAIRWELL",1
"SUBTERRANEAN TUNNEL",1
"Kwik-E-Mart",1
"Subway",1
"SUBWAY TERMINAL",1
"Subway Car",1
"SUBWAY TRACK",1
