name,count
"Homer's Apartment",50
"Waverly Hills Elementary School",46
"Springfield Elementary School",37
"CONCERT ARENA",19
"Simpson Home",13
"Waverly Hills City Hall",12
"Police Car",11
"Kwik-E-Mart",8
"Homer's Waverly Hills Apt. Bldg.",8
"Party Apartment",8
"Small Apartment",7
"TAPAS BAR",7
"Teachers' Lounge",4
"Bart's Tree House",4
"Red Blazer Real Estate Office",3
"Waverly Hills Apartments",3
"PHONE COMPANY CONTROL ROOM",3
"Building",3
"Rodeo Drive-type Street",3
"Springfield Streets",2
"Waverly Hills",2
"Party",2
"Simpson Car",1
"Homer's Apartment Building",1
