name,count
"Homer Simpson",52
"Bart Simpson",26
"Lisa Simpson",25
"Marge Simpson",15
"Duffman",11
"H.K. Duff",9
"Milhouse Van Houten",8
"Moe Szyslak",4
"Kent Brockman",4
"Les",4
"REGIS",4
"Sideshow Mel",3
"Comic Book Guy",2
"Database",2
"Mayor Joe Quimby",2
"Mailman",2
"Dave Shutton",2
"Krusty the Clown",2
"American Astronaut",2
"Russian Astronaut",2
"Gil Gunderson",2
"Agnes Skinner",2
"Nelson Muntz",1
"Dry Cleaner",1
"Martin Prince",1
"Man With Sack",1
"Man With Plow",1
"Dr. Julius Hibbert",1
"Guests",1
"Luigi",1
"Hitler",1
"Thought Bubble Homer",1
"Announcer",1
"Contestant",1
"Volunteer",1
"Hobo",1
"Parasailer #1",1
"Parasailer #2",1
"Seymour Skinner",1
"Otto Mann",1
"Crowd",1
